username,device,sequence,rep,circlePathDiamater,distanceFromPrevious,radius,id,ip,direction,hit,time,misses,timestamp
opherdonchin,trackpad,1,1,300,150,20,1.9068905956085185,0.0016004117462094154,1,true,1191.5,0,1779164525277
opherdonchin,trackpad,1,2,300,295.44232590366244,20,2.884804620370736,0.0027571486384201024,1,true,1046.2999999970198,0,1779164526325
opherdonchin,trackpad,1,3,300,295.4423259036624,20,2.8848046203707356,0.0030787669374287467,1,true,937,0,1779164527264
opherdonchin,trackpad,1,4,300,295.4423259036624,20,2.8848046203707356,0.0033532542373366607,1,true,860.2999999970198,0,1779164528127
opherdonchin,trackpad,1,5,300,295.4423259036624,20,2.8848046203707356,0.0035782741507815324,1,true,806.2000000029802,0,1779164528936
opherdonchin,trackpad,1,6,300,295.44232590366244,20,2.884804620370736,0.0035522775770705285,1,true,812.1000000089407,0,1779164529750
opherdonchin,trackpad,1,7,300,295.44232590366255,20,2.8848046203707365,0.0030846927078288532,1,true,935.2000000029802,0,1779164530687
opherdonchin,trackpad,1,8,300,295.4423259036625,20,2.8848046203707365,0.0032626154946953515,1,true,884.1999999880791,0,1779164531577
opherdonchin,trackpad,1,9,300,295.4423259036624,20,2.8848046203707356,0.0027584668391460667,1,true,1045.7999999970198,0,1779164532625
opherdonchin,trackpad,1,10,300,295.44232590366244,20,2.884804620370736,0.0036970455214427197,1,true,780.2999999970198,0,1779164533407
opherdonchin,trackpad,1,11,300,295.44232590366244,20,2.884804620370736,0.0031103014774886643,1,true,927.5,0,1779164534336
opherdonchin,trackpad,1,12,300,295.4423259036624,20,2.8848046203707356,0.0030321679843942216,1,true,951.4000000059605,0,1779164535289
opherdonchin,trackpad,1,13,300,295.4423259036624,20,2.8848046203707356,0.0035439860201114688,1,true,814,0,1779164536104
opherdonchin,trackpad,1,14,300,295.4423259036624,20,2.8848046203707356,0.0031281767733261907,1,true,922.2000000029802,0,1779164537028
opherdonchin,trackpad,1,15,300,295.44232590366244,20,2.884804620370736,0.0033470293773648755,1,true,861.9000000059605,0,1779164537892
opherdonchin,trackpad,2,1,200,100,30,0.7369655941662062,0.0007329344546655457,1,true,1005.5,0,1779164540144
opherdonchin,trackpad,2,2,200,196.96155060244166,30,1.714879618928424,0.0020698607349769753,1,true,828.5,0,1779164540975
opherdonchin,trackpad,2,3,200,196.9615506024416,30,1.7148796189284237,0.0019329121042861398,1,true,887.2000000029802,0,1779164541863
opherdonchin,trackpad,2,4,200,196.96155060244166,30,1.714879618928424,0.0020992528080743195,1,true,816.9000000059605,0,1779164542682
opherdonchin,trackpad,2,5,200,196.9615506024416,30,1.7148796189284237,0.0019216490575044484,1,true,892.4000000059605,0,1779164543577
opherdonchin,trackpad,2,6,200,196.96155060244155,30,1.714879618928423,0.00236731035194587,1,true,724.3999999910593,0,1779164544303
opherdonchin,trackpad,2,7,200,196.96155060244158,30,1.7148796189284232,0.002044931575173637,1,true,838.5999999940395,0,1779164545143
opherdonchin,trackpad,2,8,200,196.96155060244166,30,1.714879618928424,0.0020979687043640584,1,true,817.3999999910593,0,1779164545962
opherdonchin,trackpad,2,9,200,196.96155060244163,30,1.7148796189284239,0.0022053493041521433,1,true,777.6000000089407,0,1779164546743
opherdonchin,trackpad,2,10,200,196.96155060244166,30,1.714879618928424,0.002334439993115081,1,true,734.5999999940395,0,1779164547479
opherdonchin,trackpad,2,11,200,196.96155060244166,30,1.714879618928424,0.002071110650879739,1,true,828,0,1779164548308
opherdonchin,trackpad,2,12,200,196.9615506024416,30,1.7148796189284237,0.0020741166169987967,1,true,826.7999999970198,0,1779164549137
opherdonchin,trackpad,2,13,200,196.96155060244166,30,1.714879618928424,0.0021098420508160343,1,true,812.8000000119209,0,1779164549951
